,Date,IN,OUT,Postgraduate,Undergraduate,Assistive-Tech,Library-Staff,Staff,Sconul,Default,BN,Other,Term_dates
589,2019-08-16,1465,1485,808,315,76,4,61,10,15,36,140,Summer vacation
590,2019-08-17,747,797,407,159,45,2,5,1,5,55,68,Summer vacation
591,2019-08-18,700,721,364,202,35,1,8,0,8,42,40,Summer vacation
592,2019-08-19,1998,2076,1034,525,127,9,79,8,35,58,123,Summer vacation assessment
593,2019-08-20,2347,2366,1034,845,116,8,83,2,33,58,168,Summer vacation assessment
594,2019-08-21,2085,2117,1051,601,144,8,66,6,30,37,142,Summer vacation assessment
595,2019-08-22,1686,1733,878,458,83,6,61,6,30,41,123,Summer vacation assessment
596,2019-08-23,1546,1559,962,272,102,4,63,6,24,26,87,Summer vacation assessment
597,2019-08-24,536,594,307,123,30,1,4,3,4,13,51,Summer vacation assessment
598,2019-08-25,791,774,436,168,48,1,4,2,11,22,99,Summer vacation assessment
599,2019-08-26,1465,1452,888,296,81,3,5,7,21,55,109,Summer vacation assessment
600,2019-08-27,1649,1683,952,369,86,10,79,2,24,12,115,Summer vacation assessment
601,2019-08-28,1511,1513,1043,164,55,4,71,11,32,10,121,Summer vacation assessment
602,2019-08-29,1372,1382,907,128,67,9,66,16,25,23,131,Summer vacation assessment
603,2019-08-30,954,989,634,76,61,6,61,6,12,6,92,Summer vacation assessment
604,2019-08-31,399,432,246,33,31,2,16,4,8,1,58,Summer vacation assessment
605,2019-09-01,471,474,295,34,35,1,4,4,10,28,60,Summer vacation assessment
606,2019-09-02,1009,976,605,100,43,15,69,9,31,17,120,Summer vacation assessment
607,2019-09-03,725,759,414,76,26,10,64,7,28,5,95,Summer vacation assessment
608,2019-09-04,603,614,316,70,33,7,56,5,15,8,93,Summer vacation assessment
609,2019-09-05,698,700,369,79,43,6,60,5,13,10,113,Summer vacation assessment
610,2019-09-06,576,591,265,76,43,6,63,3,22,0,98,Summer vacation assessment
611,2019-09-07,152,213,53,14,26,1,6,2,8,10,32,Summer vacation
612,2019-09-08,154,164,66,18,12,1,7,1,7,12,30,Summer vacation
613,2019-09-09,607,562,284,96,25,4,78,6,15,6,93,Summer vacation
614,2019-09-10,628,637,296,74,40,5,87,2,25,0,99,Summer vacation
615,2019-09-11,545,582,232,77,43,7,77,6,9,1,93,Summer vacation
616,2019-09-12,541,558,215,40,48,5,75,10,69,1,78,Summer vacation
617,2019-09-13,523,551,228,63,22,6,75,9,27,1,92,Summer vacation
618,2019-09-14,160,211,40,21,17,5,11,1,12,12,41,Summer vacation
619,2019-09-15,109,116,22,17,14,1,2,1,5,5,42,Summer vacation
620,2019-09-16,563,528,256,101,32,5,69,10,23,2,65,Summer vacation
621,2019-09-17,659,674,319,95,32,5,64,9,31,3,101,Summer vacation
622,2019-09-18,690,684,327,137,24,4,86,3,28,0,81,Summer vacation
623,2019-09-19,587,603,252,118,16,6,93,5,24,0,73,Summer vacation
624,2019-09-20,503,528,182,121,33,3,68,6,21,3,66,Summer vacation
625,2019-09-21,337,402,75,100,17,6,7,2,25,15,90,Arrival Weekend
626,2019-09-22,536,567,66,262,26,1,3,4,40,20,114,Arrival Weekend
627,2019-09-23,1161,1234,302,514,56,3,87,3,66,5,125,Autumn term
628,2019-09-24,1505,1643,512,603,52,6,108,2,107,3,112,Autumn term
629,2019-09-25,1562,1725,509,728,55,7,87,0,80,6,90,Autumn term
630,2019-09-26,2129,2287,927,814,47,5,111,0,113,7,105,Autumn term
631,2019-09-27,2131,2224,994,780,57,7,77,9,107,5,95,Autumn term
632,2019-09-28,643,724,223,267,27,6,19,8,35,13,45,Autumn term
633,2019-09-29,691,715,194,338,31,0,11,1,34,26,56,Autumn term
634,2019-09-30,5853,5990,1271,3773,278,3,119,8,236,5,160,Autumn term
635,2019-10-01,5389,5535,1114,3597,254,5,92,9,126,5,187,Autumn term
636,2019-10-02,4657,4733,1102,2898,209,4,97,12,168,18,149,Autumn term
637,2019-10-03,5992,6017,1150,4071,333,3,98,6,88,7,236,Autumn term
638,2019-10-04,4804,4961,978,3174,277,0,89,8,133,6,139,Autumn term
639,2019-10-05,554,738,116,335,20,1,2,3,31,2,44,Autumn term
640,2019-10-06,1376,1364,294,898,50,0,15,5,41,15,58,Autumn term
641,2019-10-07,6959,7073,1302,4714,390,3,120,11,176,13,230,Autumn term
642,2019-10-08,5620,6873,1073,3321,275,6,97,7,79,13,749,Autumn term
643,2019-10-09,4471,4401,1009,2721,215,4,108,10,112,14,278,Autumn term
644,2019-10-10,6345,6645,1080,4504,363,3,102,4,72,18,199,Autumn term
645,2019-10-11,4420,4641,836,3062,252,3,80,6,61,10,110,Autumn term
646,2019-10-12,845,984,193,489,30,4,27,6,20,4,72,Autumn term
647,2019-10-13,1448,1443,297,924,62,0,11,11,47,18,78,Autumn term
648,2019-10-14,6990,7004,1251,4836,375,4,94,9,142,15,264,Autumn term
649,2019-10-15,7036,7168,1318,4890,356,2,87,9,65,20,289,Autumn term
650,2019-10-16,4967,5145,1090,3145,268,9,90,13,152,20,180,Autumn term
651,2019-10-17,6276,6489,1146,4373,356,5,88,11,64,27,206,Autumn term
652,2019-10-18,4653,4811,883,3205,246,2,79,9,113,9,107,Autumn term
653,2019-10-19,1042,1139,212,659,50,1,10,7,45,7,51,Autumn term
654,2019-10-20,1511,1533,264,966,93,0,29,4,65,17,73,Autumn term
655,2019-10-21,7000,7378,1228,4836,399,5,98,10,179,20,225,Autumn term
656,2019-10-22,6942,7220,1310,4872,365,2,91,3,81,27,191,Autumn term
657,2019-10-23,5321,5435,1160,3454,306,1,82,6,148,17,147,Autumn term
658,2019-10-24,6510,6654,1013,4627,414,2,70,13,109,15,247,Autumn term
659,2019-10-25,5087,5188,1065,3369,334,3,78,14,75,9,140,Autumn term
660,2019-10-26,1277,1391,285,848,63,2,10,9,13,4,43,Autumn term
661,2019-10-27,2059,2023,392,1427,96,0,35,3,42,9,55,Autumn term
662,2019-10-28,7862,7977,1308,5515,456,5,90,7,186,20,275,Autumn term
663,2019-10-29,7524,7738,1373,5265,416,2,100,9,116,22,221,Autumn term
664,2019-10-30,6281,6407,1161,4309,341,1,92,11,123,21,222,Autumn term
665,2019-10-31,5741,5897,1083,4025,350,2,87,11,29,14,140,Autumn term
666,2019-11-01,3662,3587,846,2384,191,5,77,8,40,8,103,Autumn term
667,2019-11-02,1162,1383,291,692,77,2,18,1,22,6,53,Autumn term
668,2019-11-03,2769,2773,582,1822,168,0,18,7,56,9,107,Autumn term
669,2019-11-04,6805,6822,1338,4586,419,3,91,9,104,25,230,Autumn term
670,2019-11-05,6284,6387,1145,4420,381,2,92,11,45,40,148,Autumn term
671,2019-11-06,5675,5732,1138,3816,311,0,121,4,75,28,182,Autumn term
672,2019-11-07,6823,6509,1018,4946,429,3,108,1,64,23,231,Autumn term
673,2019-11-08,5191,5715,993,3605,297,3,77,9,59,24,124,Autumn term
674,2019-11-09,2099,2146,407,1370,109,1,15,10,57,22,108,Autumn term
675,2019-11-10,2776,2789,477,1962,153,2,20,8,55,22,77,Autumn term
676,2019-11-11,8023,8178,1195,5824,533,5,91,6,145,27,197,Autumn term
677,2019-11-12,8552,8807,1360,6031,530,2,103,9,52,23,442,Autumn term
678,2019-11-13,7405,7566,1280,5122,465,0,115,9,120,30,264,Autumn term
679,2019-11-14,7588,7956,930,5703,513,2,90,7,99,20,224,Autumn term
680,2019-11-15,5289,5455,868,3718,405,1,61,8,69,17,142,Autumn term
681,2019-11-16,2163,2208,452,1427,110,0,7,4,53,28,82,Autumn term
682,2019-11-17,2799,2825,538,1886,166,0,10,2,94,17,86,Autumn term
683,2019-11-18,7761,7929,1174,5483,553,0,79,10,158,22,282,Autumn term
684,2019-11-19,7584,7665,1222,5388,518,1,60,10,87,27,271,Autumn term
685,2019-11-20,6650,6768,1046,4632,492,0,78,8,173,42,179,Autumn term
686,2019-11-21,6558,6719,1030,4625,464,2,72,8,127,31,199,Autumn term
687,2019-11-22,5004,5122,813,3441,390,1,69,8,136,26,120,Autumn term
688,2019-11-23,1490,1557,281,886,125,0,3,13,107,10,65,Autumn term
689,2019-11-24,2139,2121,383,1386,155,0,6,5,83,30,91,Autumn term
690,2019-11-25,5188,5208,872,3557,326,0,57,4,237,18,117,Autumn term
691,2019-11-26,5510,5559,961,3801,342,1,76,2,145,31,151,Autumn term
692,2019-11-27,4742,4784,816,3166,340,0,86,6,180,13,135,Autumn term
693,2019-11-28,4944,5022,891,3312,302,1,83,11,209,19,116,Autumn term
694,2019-11-29,3620,3754,632,2350,240,3,65,6,221,11,92,Autumn term
695,2019-11-30,1832,1875,334,1086,120,1,17,13,169,20,72,Autumn term
696,2019-12-01,1993,1971,345,1240,97,1,17,5,180,29,79,Autumn term
697,2019-12-02,6564,6504,965,4527,429,3,77,4,324,38,197,Autumn term
698,2019-12-03,7141,7172,1118,5035,430,5,85,6,220,56,186,Autumn term
699,2019-12-04,6293,6425,1134,4179,398,2,71,10,282,62,155,Autumn term
700,2019-12-05,7340,7443,1269,5212,503,3,76,10,61,40,166,Autumn term
701,2019-12-06,5684,5878,1062,3853,434,14,77,12,62,28,142,Autumn term
702,2019-12-07,2920,3026,563,1965,189,1,8,8,64,37,85,Autumn term
703,2019-12-08,3610,3591,639,2490,241,0,11,10,75,34,110,Autumn term
704,2019-12-09,8700,8616,1391,6271,649,10,97,7,65,30,180,Autumn term
705,2019-12-10,8034,8223,1058,5895,576,5,97,2,80,41,280,Autumn term
706,2019-12-11,6914,7006,1270,4782,511,2,83,5,67,16,178,Autumn term
707,2019-12-12,5414,5655,909,3818,454,3,63,3,21,44,99,Autumn term
708,2019-12-13,3210,3350,704,2080,268,3,42,7,6,33,67,Autumn term
709,2019-12-14,1085,1114,299,583,80,2,5,8,18,22,68,Christmas vacation 2
710,2019-12-15,997,1018,272,535,61,1,7,7,7,32,75,Christmas vacation 2
711,2019-12-16,2041,2006,597,1092,134,6,52,7,15,23,115,Christmas vacation 2
712,2019-12-17,1957,1979,530,1000,143,3,55,2,11,50,163,Christmas vacation 2
713,2019-12-18,1621,1664,483,710,136,5,66,5,13,49,154,Christmas vacation 2
714,2019-12-19,1301,1352,472,523,72,3,56,7,6,47,115,Christmas vacation 2
715,2019-12-20,1093,1120,456,326,61,3,41,6,1,34,165,Christmas vacation 2
716,2019-12-21,560,593,249,164,11,0,3,6,1,27,99,Christmas vacation 2
717,2019-12-22,595,600,268,171,12,1,8,3,3,35,94,Christmas vacation 2
718,2019-12-23,537,561,251,153,19,5,7,3,0,8,91,Christmas vacation 2
719,2019-12-24,8,24,0,0,0,1,0,0,0,0,7,Christmas vacation 2
720,2019-12-25,0,2,0,0,0,0,0,0,0,0,0,Christmas vacation 2
721,2019-12-26,1,0,0,0,0,1,0,0,0,0,0,Christmas vacation 2
722,2019-12-27,8,11,0,0,0,3,1,0,0,0,4,Christmas vacation 2
723,2019-12-28,535,527,203,178,19,0,12,3,0,18,102,Christmas vacation 2
724,2019-12-29,792,797,247,285,42,3,7,8,4,25,171,Christmas vacation 2
725,2019-12-30,991,1004,261,422,79,4,21,6,1,12,185,Christmas vacation 2
726,2019-12-31,3,27,0,0,0,2,0,0,0,0,1,Christmas vacation 2
